                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     25,                 2.6016,                 2.9627,                 3.0263,                 2.1673,                0.00036,                0.08333,                0.00019,                  6e-05,                      0,                      0,                      0,                      0,                 4.8401,                 53.751,                    inf,                  6.422,              0.0015247,              0.0015247,              0.0015247
                     26,                 2.5254,                 2.7367,                 2.9331,                 2.1162,                0.00112,                0.08333,                0.00046,                0.00011,                      0,                      0,                      0,                      0,                 4.2106,                 24.456,                    inf,                 4.7145,              0.0015049,              0.0015049,              0.0015049
                     27,                 2.4665,                 2.5628,                 2.8338,                 2.1015,                0.00033,                0.08333,                0.00019,                  5e-05,                0.00024,                0.04167,                0.00011,                  1e-05,                  4.971,                 26.482,                    inf,                 8.8893,              0.0014851,              0.0014851,              0.0014851
                     28,                 2.5537,                 2.6694,                  2.959,                 2.1671,                0.00084,                0.16667,                0.00045,                0.00017,                      0,                      0,                      0,                      0,                 4.1928,                   77.8,                    inf,                 8.4681,              0.0014653,              0.0014653,              0.0014653
                     29,                 2.4632,                 2.5036,                 2.7467,                 2.0897,                0.00028,                0.04167,                0.00012,                  2e-05,                      0,                      0,                      0,                      0,                 4.1284,                 139.94,                    inf,                  6.493,              0.0014455,              0.0014455,              0.0014455
                     30,                  2.579,                 2.7229,                 2.8981,                 2.1312,                0.00075,                0.08333,                0.00152,                0.00078,                0.00037,                0.04167,                0.00038,                0.00015,                 3.8252,                 47.324,                    inf,                 6.3818,              0.0014256,              0.0014256,              0.0014256
                     31,                 2.4158,                 2.4281,                 2.7814,                 2.0263,                0.00057,                  0.125,                 0.0006,                0.00023,                0.00051,                0.08333,                0.01142,                0.00228,                 3.7299,                 41.433,                    inf,                 5.7833,              0.0014058,              0.0014058,              0.0014058
                     32,                 2.5471,                 3.0605,                  2.922,                 2.1937,                0.00168,                0.29167,                0.00121,                0.00026,                0.00072,                  0.125,                0.00033,                0.00011,                 3.6641,                 39.009,                    inf,                  6.446,               0.001386,               0.001386,               0.001386
                     33,                 2.2898,                 2.6783,                 2.7959,                 1.9983,                0.00199,                   0.25,                0.00115,                0.00048,                0.00165,                0.20833,                0.00071,                0.00032,                 3.6777,                 160.46,                    inf,                 7.0864,              0.0013662,              0.0013662,              0.0013662
                     34,                 2.3792,                 2.6392,                 2.7184,                 2.0259,                 0.0024,                   0.25,                0.00151,                0.00046,                0.00209,                0.20833,                0.00081,                0.00041,                 3.7579,                 78.755,                 405.05,                 5.8883,              0.0013464,              0.0013464,              0.0013464
